Table	Head	Target	Result	Convers
1	6	11	10.9816	1
1	6	15	14.91	1
1	6	20	20.1278	1
1	6	25	25.2	1
1	6	30	30.1266	1
1	6	35	35.4214	1
1	7	2.8	3.3866	1
1	7	4	4.2322	1
1	7	5	5.133801	1
1	7	8	8.246001	1
1	7	11	11.0404	1
1	7	15	15.1564	1
1	7	20	20.0858	1
1	7	25	25.2238	1
1	7	30	30.20921	1
1	7	35	35.217	1
0	0	2.8	4.223799	1
0	0	4	4.7376	1
0	0	5	5.513201	1
0	0	8	8.2012	1
0	0	11	11.4128	1
0	0	15	15.7178	1
0	0	20	20.6766	1
0	0	25	25.6564	1
0	0	30	30.8014	1
0	0	35	36.0724	1
0	1	2.8	3.409	1
0	1	4	4.338601	1
0	1	5	5.135201	1
0	1	8	8.111599	1
0	1	11	10.983	1
0	1	15	14.987	1
0	1	20	20.1572	1
0	1	25	25.0124	1
0	1	30	30.1252	1
0	1	35	35.2562	1
0	2	2.8	2.6586	1
0	2	4	3.8906	1
0	2	5	4.893	1
0	2	8	7.91	1
0	2	11	10.9592	1
0	2	15	14.9716	1
0	2	20	20.1264	1
0	2	25	25.1412	1
0	2	30	30.4444	1
0	2	35	35.8694	1
0	3	2.8	3.623201	1
0	3	4	4.3064	1
0	3	5	5.180001	1
0	3	8	8.023399	1
0	3	11	11.1356	1
0	3	15	15.204	1
0	3	20	20.356	1
0	3	25	25.3596	1
0	3	30	30.5914	1
0	3	35	35.7714	1
0	4	2.8	3.612001	1
0	4	4	4.6312	1
0	4	5	5.4264	1
0	4	8	8.388801	1
0	4	11	11.4744	1
0	4	15	15.4112	1
0	4	20	20.5856	1
0	4	25	25.7558	1
0	4	30	30.954	1
0	4	35	35.9702	1
0	5	2.8	4.052999	1
0	5	4	4.468801	1
0	5	5	5.4684	1
0	5	8	8.384601	1
0	5	11	11.6032	1
0	5	15	15.1536	1
0	5	20	20.2118	1
0	5	25	25.1608	1
0	5	30	30.2078	1
0	5	35	35.3878	1
0	6	2.8	3.589601	1
0	6	4	4.401601	1
0	6	5	5.269601	1
0	6	8	8.078001	1
0	6	11	11.242	1
0	6	15	15.19	1
0	6	20	20.2076	1
0	6	25	25.494	1
0	6	30	30.443	1
0	6	35	35.6104	1
0	7	2.8	3.3236	1
0	7	4	4.587801	1
0	7	5	5.310201	1
0	7	8	8.141001	1
0	7	11	11.2252	1
0	7	15	15.33	1
0	7	20	20.3392	1
0	7	25	25.4282	1
0	7	30	30.31	1
0	7	35	35.7364	1
1	0	2.8	3.491601	1
1	0	4	4.2056	1
1	0	5	5.045599	1
1	0	8	8.045801	1
1	0	11	10.8318	1
1	0	15	14.9884	1
1	0	20	20.265	1
1	0	25	25.1482	1
1	0	30	30.4108	1
1	0	35	35.4508	1
1	1	2.8	3.4818	1
1	1	4	4.5458	1
1	1	5	5.3648	1
1	1	8	8.127	1
1	1	11	11.1412	1
1	1	15	15.1578	1
1	1	20	20.1404	1
1	1	25	25.3554	1
1	1	30	30.443	1
1	1	35	35.59921	1
1	2	2.8	3.171	1
1	2	4	4.057199	1
1	2	5	5.3676	1
1	2	8	8.348201	1
1	2	11	11.277	1
1	2	15	15.2964	1
1	2	20	20.517	1
1	2	25	25.1986	1
1	2	30	30.3282	1
1	2	35	35.819	1
1	3	2.8	3.372601	1
1	3	4	4.6158	1
1	3	5	5.3928	1
1	3	8	8.191401	1
1	3	11	11.333	1
1	3	15	15.183	1
1	3	20	20.3798	1
1	3	25	25.6228	1
1	3	30	30.7692	1
1	3	35	35.74761	1
1	4	2.8	3.1892	1
1	4	4	3.8976	1
1	4	5	5.117002	1
1	4	8	8.163401	1
1	4	11	11.1832	1
1	4	15	15.2222	1
1	4	20	20.2832	1
1	4	25	25.2014	1
1	4	30	30.4654	1
1	4	35	35.7728	1
1	5	2.8	3.2634	1
1	5	4	4.442201	1
1	5	5	5.191201	1
1	5	8	8.129801	1
1	5	11	11.2378	1
1	5	15	15.3496	1
1	5	20	20.3056	1
1	5	25	25.3022	1
1	5	30	30.7398	1
1	5	35	35.6314	1
1	6	2.8	3.3978	1
1	6	4	4.2644	1
1	6	5	5.160401	1
1	6	8	7.9674	1
1	6	11	10.9452	1
1	6	15	15.036	1
1	6	20	20.1404	1
1	6	25	25.1342	1
1	6	30	30.2596	1
1	6	35	35.2016	1
1	7	2.8	3.358601	1
1	7	4	4.291	1
1	7	5	5.181401	1
1	7	8	8.2068	1
1	7	11	11.1034	1
1	7	15	14.9968	1
1	7	20	20.2734	1
1	7	25	25.0824	1
1	7	30	30.2316	1
1	7	35	35.476	1
0	0	2.8	4.319	1
0	0	4	4.8748	1
0	0	5	5.5748	1
0	0	8	8.1942	1
0	0	11	11.1524	1
0	0	15	15.2418	1
0	0	20	20.5436	1
0	0	25	25.2588	1
0	0	30	30.5452	1
0	0	35	35.8372	1
0	1	2.8	3.368401	1
0	1	4	4.337201	1
0	1	5	5.128201	1
0	1	8	7.989799	1
0	1	11	10.9984	1
0	1	15	14.9338	1
0	1	20	20.2048	1
0	1	25	24.9284	1
0	1	30	30.2078	1
0	1	35	35.4312	1
0	2	2.8	2.933	1
0	2	4	3.78	1
0	2	5	4.948999	1
0	2	8	7.9492	1
0	2	11	11.0852	1
0	2	15	15.2656	1
0	2	20	19.7344	1
0	2	25	25.1678	1
0	2	30	30.4668	1
0	2	35	35.602	1
0	3	2.8	3.738	1
0	3	4	4.354001	1
0	3	5	5.313001	1
0	3	8	8.117201	1
0	3	11	11.3008	1
0	3	15	15.1676	1
0	3	20	20.3602	1
0	3	25	25.4954	1
0	3	30	30.4892	1
0	3	35	35.896	1
0	4	2.8	3.6638	1
0	4	4	4.606	1
0	4	5	5.510401	1
0	4	8	8.362201	1
0	4	11	11.4436	1
0	4	15	15.379	1
0	4	20	20.6164	1
0	4	25	25.718	1
0	4	30	30.8266	1
0	4	35	35.9898	1
0	5	2.8	3.9172	1
0	5	4	4.4968	1
0	5	5	5.534201	1
0	5	8	8.303401	1
0	5	11	11.6284	1
0	5	15	15.2404	1
0	5	20	20.2412	1
0	5	25	25.2252	1
0	5	30	30.2316	1
0	5	35	35.4732	1
0	6	2.8	3.599401	1
0	6	4	4.664801	1
0	6	5	5.3816	1
0	6	8	8.292201	1
0	6	11	11.2406	1
0	6	15	15.2194	1
0	6	20	20.3602	1
0	6	25	25.4338	1
0	6	30	30.0804	1
0	6	35	35.5824	1
0	7	2.8	3.530801	1
0	7	4	4.480001	1
0	7	5	5.261201	1
0	7	8	8.12	1
0	7	11	11.2028	1
0	7	15	15.4266	1
0	7	20	20.3574	1
0	7	25	25.4702	1
0	7	30	30.5382	1
0	7	35	35.539	1
1	0	2.8	3.365601	1
1	0	4	4.2882	1
1	0	5	5.0022	1
1	0	8	7.9842	1
1	0	11	10.9592	1
1	0	15	15.1032	1
1	0	20	20.0676	1
1	0	25	25.144	1
1	0	30	30.2904	1
1	0	35	35.665	1
1	1	2.8	3.575601	1
1	1	4	4.5108	1
1	1	5	5.327001	1
1	1	8	8.101801	1
1	1	11	11.0446	1
1	1	15	15.12	1
1	1	20	20.237	1
1	1	25	25.3498	1
1	1	30	30.4374	1
1	1	35	35.60201	1
1	2	2.8	3.234	1
1	2	4	4.282599	1
1	2	5	5.238801	1
1	2	8	8.374801	1
1	2	11	10.9228	1
1	2	15	15.0332	1
1	2	20	20.2566	1
1	2	25	25.1762	1
1	2	30	30.436	1
1	2	35	35.8106	1
1	3	2.8	3.347401	1
1	3	4	4.6508	1
1	3	5	5.192601	1
1	3	8	8.2068	1
1	3	11	11.4072	1
1	3	15	15.1396	1
1	3	20	20.3854	1
1	3	25	25.4436	1
1	3	30	30.667	1
1	3	35	35.7826	1
1	4	2.8	3.199	1
1	4	4	4.0446	1
1	4	5	5.147801	1
1	4	8	8.086401	1
1	4	11	11.0068	1
1	4	15	15.134	1
1	4	20	20.2426	1
1	4	25	25.3064	1
1	4	30	30.73	1
1	4	35	35.4998	1
1	5	2.8	3.4804	1
1	5	4	4.48	1
1	5	5	5.325601	1
1	5	8	8.2124	1
1	5	11	11.1888	1
1	5	15	15.3118	1
1	5	20	20.3042	1
1	5	25	25.4982	1
1	5	30	30.7944	1
1	5	35	35.5964	1
1	6	2.8	3.154199	1
1	6	4	4.0908	1
1	6	5	5.131001	1
1	6	8	8.047201	1
1	6	11	10.8878	1
1	6	15	15.0122	1
1	6	20	19.8338	1
1	6	25	25.2742	1
1	6	30	30.394	1
1	6	35	35.3654	1
1	7	2.8	3.4832	1
1	7	4	4.1608	1
1	7	5	5.033	1
1	7	8	8.086399	1
1	7	11	11.0278	1
1	7	15	15.0906	1
1	7	20	20.244	1
1	7	25	25.1776	1
1	7	30	30.27081	1
1	7	35	35.525	1
0	0	2.8	4.184599	1
0	0	4	4.7656	1
0	0	5	5.4362	1
0	0	8	8.4994	1
0	0	11	11.1188	1
0	0	15	15.1788	1
0	0	20	20.3616	1
0	0	25	25.2756	1
0	0	30	30.4262	1
0	0	35	35.819	1
0	1	2.8	3.4006	1
0	1	4	4.415601	1
0	1	5	5.146401	1
0	1	8	7.8918	1
0	1	11	11.0754	1
0	1	15	14.7098	1
0	1	20	20.1922	1
0	1	25	25.1804	1
0	1	30	30.142	1
0	1	35	35.3192	1
0	2	2.8	2.7986	1
0	2	4	3.808	1
0	2	5	4.746	1
0	2	8	7.8806	1
0	2	11	10.85	1
0	2	15	15.0262	1
0	2	20	19.9332	1
0	2	25	25.1664	1
0	2	30	30.32541	1
0	2	35	35.4858	1
0	3	2.8	3.642801	1
0	3	4	4.3162	1
0	3	5	5.272401	1
0	3	8	8.167601	1
0	3	11	10.9732	1
0	3	15	15.1774	1
0	3	20	20.3672	1
0	3	25	25.3974	1
0	3	30	30.6152	1
0	3	35	35.7658	1
0	4	2.8	3.7464	1
0	4	4	4.6802	1
0	4	5	5.530001	1
0	4	8	8.4196	1
0	4	11	11.4632	1
0	4	15	15.477	1
0	4	20	20.6108	1
0	4	25	25.7138	1
0	4	30	30.8924	1
0	4	35	35.9408	1
0	5	2.8	3.8752	1
0	5	4	4.526201	1
0	5	5	5.506201	1
0	5	8	7.5558	1
0	5	11	11.5416	1
0	5	15	15.155	1
0	5	20	20.2552	1
0	5	25	25.1958	1
0	5	30	30.2568	1
0	5	35	35.4298	1
0	6	2.8	3.567201	1
0	6	4	4.524801	1
0	6	5	5.4642	1
0	6	8	8.2026	1
0	6	11	11.193	1
0	6	15	15.3524	1
0	6	20	20.1866	1
0	6	25	25.4464	1
0	6	30	30.3268	1
0	6	35	35.4312	1
0	7	2.8	3.3894	1
0	7	4	4.510801	1
0	7	5	5.283601	1
0	7	8	8.2026	1
0	7	11	11.1748	1
0	7	15	15.295	1
0	7	20	20.4022	1
0	7	25	25.592	1
0	7	30	30.7762	1
0	7	35	35.9408	1
1	0	2.8	3.390801	1
1	0	4	4.167799	1
1	0	5	4.9532	1
1	0	8	7.9548	1
1	0	11	10.9046	1
1	0	15	15.0724	1
1	0	20	20.0312	1
1	0	25	25.228	1
1	0	30	30.0468	1
1	0	35	35.6034	1
1	1	2.8	3.557401	1
1	1	4	4.356801	1
1	1	5	5.233201	1
1	1	8	7.9814	1
1	1	11	11.0586	1
1	1	15	15.204	1
1	1	20	20.2538	1
1	1	25	25.438	1
1	1	30	30.4136	1
1	1	35	35.4662	1
1	2	2.8	3.134599	1
1	2	4	4.2112	1
1	2	5	5.208001	1
1	2	8	8.251599	1
1	2	11	11.1566	1
1	2	15	15.0178	1
1	2	20	19.9178	1
